DATAFLOW,LAST UPDATE,freq,unit,sector,cofog99,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2008,3.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2009,3.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2010,3.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2011,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2012,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2013,3.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2014,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2015,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2016,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2017,3.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2018,3.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2019,3.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2020,3.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2021,3.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2022,3.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Austria,2023,3.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,1995,2.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,1996,2.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,1997,2.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,1998,2.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,1999,2.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2000,2.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2001,2.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2002,2.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2003,2.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2004,2.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2005,2.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2006,1.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2007,2.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2008,2.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2009,2.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2010,2.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2011,2.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2012,2.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2013,2.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2014,2.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2015,2.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2016,2.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2017,2.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2018,2.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2019,2.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2020,2.8,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2021,2.8,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2022,2.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Belgium,2023,2.8,p,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,1995,0.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,1996,0.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,1997,1.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,1998,3.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,1999,4.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2000,3.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2001,3.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2002,3.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2003,3.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2004,3.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2005,3.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2006,4.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2007,5.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2008,5.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2009,4.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2010,4.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2011,3.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2012,3.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2013,4.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2014,5.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2015,6.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2016,2.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2017,2.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2018,3.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2019,3.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2020,3.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2021,2.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2022,2.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Bulgaria,2023,3.8,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,1995,3.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,1996,3.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,1997,3.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,1998,3.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,1999,3.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2000,2.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2001,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2002,3.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2003,3.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2004,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2005,2.8,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2006,2.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2007,2.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2008,2.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2009,2.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2010,2.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2011,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2012,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2013,2.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2014,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2015,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2016,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2017,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2018,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2019,3.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2020,3.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2021,3.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2022,3.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Switzerland,2023,3.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,1995,4.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,1996,5.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,1997,5.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,1998,2.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,1999,3.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2000,3.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2001,3.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2002,3.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2003,4.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2004,4.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2005,3.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2006,3.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2007,3.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2008,3.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2009,4.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2010,4.8,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2011,4.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2012,3.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2013,2.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2014,2.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2015,2.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2016,2.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2017,2.8,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2018,4.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2019,2.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2020,2.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2021,2.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2022,2.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Cyprus,2023,3.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,1995,5.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,1996,4.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,1997,4.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,1998,4.3,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,1999,3.7,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2000,4.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2001,4.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2002,4.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2003,7.6,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2004,5.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2005,5.2,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2006,5.1,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2007,4.5,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2008,5.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2009,5.9,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2010,5.0,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2011,4.4,,
ESTAT:GOV_10A_EXP(1.0),21/10/25 11:00:00,Annual,Percentage of gross domestic product (GDP),General government,Total,Gross fixed capital formation,Czechia,2012,4.1,,
