DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2011,3.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2012,2.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2013,1.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2014,0.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2015,0.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2016,1.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2017,2.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2018,2.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2019,1.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2020,0.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2021,3.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2022,10.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2023,2.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Belgium,2024,4.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,1998,18.7,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,1999,2.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2000,10.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2001,7.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2002,5.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2003,2.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2004,6.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2005,6.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2006,7.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2007,7.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2008,12.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2009,2.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2010,3.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2011,3.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2012,2.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2013,0.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2014,-1.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2015,-1.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2016,-1.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2017,1.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2018,2.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2019,2.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2020,1.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2021,2.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2022,13.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2023,8.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Bulgaria,2024,2.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2006,1.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2007,0.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2008,2.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2009,-0.7,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2010,0.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2011,0.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2012,-0.7,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2013,0.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2014,0.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2015,-0.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2016,-0.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2017,0.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2018,0.9,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2019,0.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2020,-0.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2021,0.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2022,2.7,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2023,2.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Switzerland,2024,1.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,1997,3.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,1998,2.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,1999,1.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2000,4.9,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2001,2.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2002,2.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2003,4.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2004,1.9,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2005,2.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2006,2.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2007,2.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2008,4.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2009,0.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2010,2.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2011,3.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2012,3.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2013,0.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2014,-0.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2015,-1.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2016,-1.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2017,0.7,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2018,0.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2019,0.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2020,-1.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2021,2.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2022,8.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2023,3.9,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Cyprus,2024,2.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,1996,9.1,d,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,1997,8.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,1998,9.7,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,1999,1.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2000,3.9,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2001,4.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2002,1.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2003,-0.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2004,2.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2005,1.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2006,2.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2007,2.9,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2008,6.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2009,0.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2010,1.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2011,2.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2012,3.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2013,1.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2014,0.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2015,0.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2016,0.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2017,2.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2018,2.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2019,2.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2020,3.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2021,3.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2022,14.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2023,12.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Czechia,2024,2.7,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,1996,0.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,1997,1.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,1998,0.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,1999,0.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2000,1.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2001,1.9,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2002,1.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2003,1.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2004,1.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2005,1.9,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2006,1.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2007,2.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2008,2.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2009,0.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2010,1.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2011,2.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2012,2.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2013,1.6,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2014,0.8,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2015,0.7,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2016,0.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2017,1.7,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2018,1.9,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2019,1.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2020,0.4,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2021,3.2,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2022,8.7,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2023,6.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Germany,2024,2.5,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Denmark,1996,2.1,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Denmark,1997,1.9,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Denmark,1998,1.3,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Denmark,1999,2.0,,
ESTAT:PRC_HICP_AIND(1.0),19/11/25 11:00:00,Annual,Annual average rate of change,All-items HICP,Denmark,2000,2.8,,
